,TextDescription,Severity,EncodedSeverity
0,PDE quickfix creates invalid @Since tag,normal,4
1,Grant access to projects storage service to the Jenkins instance of project TEA,normal,4
2,Add relation information to REST-API,major,2
3,Provide platform independent plug-in to set the OS dark theme,normal,4
4,"Inline method refacting reports ""Inaccurate references to method found""",normal,4
5,Call Hierarchy incorrectly includes binary artifacts,normal,4
6,Run APIAnalysisBuilder only when the contents of the preference file has changed,normal,4
7,Run PDE compiler only when the contents of the preference file has changed,normal,4
8,UI freezes in PluginsView,normal,4
9,UI freeze in org.eclipse.ui.dialogs.FilteredTree,normal,4
10,CPD dialog should have a consistent usage of setUseHashlookup for menu and action tree viewer,normal,4
11,"OpenJ9: Git failing on master, builds blocked",critical,1
12,OpenJ9 Badge plugin not working,normal,4
13,OpenJ9 Pull requests flooded with comments from Jenkins,normal,4
14,Cant import existing local git project,normal,4
15,Remove ResourceNavigator from Show-in menu,normal,4
16,[StyledText] Disabling StyledText moves insertion position to 0,normal,4
17,Project Explorer loses last selected working set,normal,4
18,Go build on Codewind failed with signal killed,normal,4
19,quick search preview area too small,trivial,5
20,Wrong tooltips quicksearch preference page,trivial,5
21,[GTK] Long delay in deleting all items from a virtual table,normal,4
22,Use setUseHashlookup in internal org.eclipse.e4.ui.dialogs.filteredtree.FilteredTree,normal,4
23,Update find_strings query to show detailed progress,normal,4
24,OpenJ9 CI IOException: cannot allocation memory for RandomAccessFile,normal,4
25,Use e4 FilteredTree in LogView,normal,4
26,Use e4 FilteredTree in ShowView dialog,normal,4
27,Use e4 FilteredTree in InstalledIUGroup,normal,4
28,multiple layout issues in launch configuration dialog,minor,3
29,Release e4 FilteredTree as API,normal,4
30,[Quicksearch] superfluous slash in path,trivial,5
31,[test][12] disagreements vs. javac at 12,normal,4
32,Redirect to relative path is blocked,normal,4
33,Use project scheduling rule for PluginModelManager job,normal,4
34,Remove unnecessary activator WebBrowserTestsPlugin,normal,4
35,Update application model code (EMF) with the fixes for Bug 548575 and Bug 546714,normal,4
36,Use StringBuilder instead of StringBuffer in eclipse.platform.ua,normal,4
37,Investigate if forced activation in InternalPlatform#start is still necessary,normal,4
38,Y build showing comparator error in platform.ua for jsp files,normal,4
39,Eclipse Genie fails to create CQ repeatedly,major,2
41,[Quicksearch] Ignored file extensions must be checked case insensitive,minor,3
42,Release preparations for v0.7.0,normal,4
43,2 compile warnings in official build,normal,4
44,[C++ CodeGen] Should enable to call a method via reference in the entry behavior of a the starting state of state machine,normal,4
45,Remove copied TextUtils again,minor,3
46,EASE JIPP does not trigger on gerrit commits,normal,4
47,"Remove ""Are you sure you want to "" from text",normal,4
49,All coonections are black in the editor that is open at start,normal,4
50,Engine termination should be improved,normal,4
52,http://www.eclipse.org/QVT/1.0.0/Operational is not properly registered.,normal,4
53,Update PDE templates to not use deprecated AbstractUIPlugin#imageDescriptorFromPlugin,normal,4
54,Import existing projects wizard does not close project imported from archive,normal,4
55,[Quicksearch] Missing menu item for Quick Text Search,normal,4
56,[Quicksearch] The Quick Text Search dialog and menu item are missing mnemonics,normal,4
57,[Quicksearch] Name mismatch in UI and N&N,normal,4
58,[styled text] Typing ~~ in combination with ²&~# inserts é~~,normal,4
59,Run the new Use Autoboxing - Use Unboxing cleanup on eclipse.platform.ui,normal,4
60,Change Title bar of systemconfiguration editor to better indicate that it is the system configuration,normal,4
61,Use ArrayDeque rather than Stack,normal,4
62,ClassFile.addFieldInfos throws ArrayIndexOutOfBoundsException,normal,4
63,Creating new Application in default System(Project),normal,4
65,Tracking bug for inclusion of Eclipse Capra in Oomph project catalogue,normal,4
66,ArrayIndexOutOfBoundsException in Java Search,normal,4
67,empty action is not visible in the property sheet,normal,4
68,OpenJ9: 2 zlinux nodes offline,normal,4
69,Use StringBuilder instead of StringBuffer,normal,4
70,Generating autocomplete from XSD crashes Eclipse,major,2
71,EModelService#cloneElement does also clone transient data and widget ref,normal,4
72,Diagram validation does not validate all visible elements,normal,4
73,Request for commit rights to SimRel repo,normal,4
