bugID,TextDescription,cl,pd,co,rp,OS,bs,rs,Priority,Severity
1600000,Simplify functions to select a search engine list in search's xpcshell head.js,Client Software,Firefox,Search,Unspecified,Unspecified,RESOLVED,FIXED,P2,normal
1600002,"[wpt-sync] Sync PR 20497 - Add tests for content-dpr, separate from client-hints",Components,Testing,web-platform-tests,All,All,RESOLVED,FIXED,P4,normal
1600003,2.45% displaylist_mutate (linux64-shippable) regression on push b73b86efe266cba006e14a3b181508ab960ee805 (Thu November 6 2019),Components,Core,Graphics: Layers,Unspecified,Unspecified,RESOLVED,INVALID,--,normal
1600004,Replace current push from alert summaries with previous push & current push tuple,Developer Infrastructure,Tree Management,Perfherder,Unspecified,Unspecified,NEW,,P2,normal
1600005,"Assertions for ""test mode"" print an outdated message",Client Software,Data Platform and Tools,Glean: SDK,Unspecified,Unspecified,RESOLVED,FIXED,P1,normal
1600006,Document that the Glean testing API requires 'Robolectric >= 4.0',Client Software,Data Platform and Tools,Glean: SDK,Unspecified,Unspecified,RESOLVED,FIXED,P1,normal
1600007,The Enterprise Policies service is active but there are no policies enabled,Client Software,Firefox,Enterprise Policies,Desktop,Windows,VERIFIED,FIXED,P3,normal
1600008,Consider adding a test API for checking if *any* label was recorded,Client Software,Data Platform and Tools,Glean: SDK,Unspecified,Unspecified,NEW,,P3,normal
1600009,workgnaizer,Graveyard,Invalid Bugs,General,Desktop,Windows,RESOLVED,INVALID,P5,minor
1600010,karthik bug,Graveyard,Invalid Bugs,General,Unspecified,Unspecified,RESOLVED,INVALID,--,normal
1600013,Firefox is the only browser not to accept my SSL certificate,Components,Core,Security: PSM,Unspecified,Unspecified,RESOLVED,DUPLICATE,--,normal
1600014,Btime(tp6-1) runs with many failure lines ERROR: [browsertime] Visual Metrics failed to analyse the video TypeError: Cannot read property 'visualMetrics' of undefined,Components,Testing,Raptor,Unspecified,Unspecified,RESOLVED,FIXED,P1,normal
