bugID,TextDescription,cl,pd,co,rp,OS,bs,rs,Priority,Severity
125000,CRASH when scroll through very large and complex .odt,Application,Writer,code,All,Windows 7,CLOSED,FIXED,P2,Major
125001,Incorrect display for font size and font type of Chinese character when open .doc with AOO,Application,Writer,editing,All,All,CONFIRMED,,P3,Normal
125002,Picture Drag and Drop from WIN Files Explorer incomplete,Application,Calc,code,All,Windows 7,CONFIRMED,,P3,Normal
125003,Integrate GoogleTest unit test framework for general usage in the build environment,Code,Build Tools,external prerequisites,All,All,ACCEPTED,,P3,Normal
125004,CRASH when ... ???,Code,General,ui,PC,"Windows 8, 8.1",CLOSED,IRREPRODUCIBLE,P3,Normal
125005,Left Horizontal Scrolling Using Trackpad Scrolls Right Instead,Application,Writer,editing,Mac,OS X 10.9,CLOSED,DUPLICATE,P3,Normal
125006,"Calc Consistently crashing, usually with ""Fatal Error - Bad Allocation""",Application,Calc,save-export,PC,"Windows 8, 8.1",UNCONFIRMED,,P3,Major
125008,"Calc : unable to use regex '\.' , have to use '[.]' in a javascript macro",Unclassified,App Dev,scripting,PC,Windows 7,CLOSED,NOT_AN_OOO_ISSUE,P3,Major
125009,"""No default printer found"" appeared with the new OOo release",Code,General,scripting,PC,Windows 7,CLOSED,OBSOLETE,P3,Blocker
125010,Drag and drop of images to Writer opens image in Draw,Application,Writer,ui,Mac,OS X 10.9,CLOSED,DUPLICATE,P3,Normal
125011,File --> Save As will not save,Application,Calc,save-export,PC,Windows 7,UNCONFIRMED,,P2,Major
125012,PDF Export Issues,Application,Writer,save-export,Mac,OS X 10.9,UNCONFIRMED,,P3,Major
125013,"After entering speaker notes on one slide, clicking on next slide in left pane scrolls back to first or second slide in the presentation.",Application,Impress,ui,PC,Windows 7,CONFIRMED,,P3,Normal
125014,Operating system print dialog unavailable,Code,General,ui,Mac,OS X 10.9,REOPENED,,P3,Normal
125015,impress changes master page name when saving otp file,Application,Impress,formatting,All,All,CONFIRMED,,P3,Normal
125016,Slide view changes to first slide when switch to notes view,Application,Impress,editing,PC,Windows 7,CONFIRMED,,P3,Normal
125017,"Crash, corrupted Word file.",Application,Writer,save-export,PC,Windows 7,CLOSED,IRREPRODUCIBLE,P3,Blocker
125018,OO can't open or save documents on a samba share on a nas,Code,General,ui,PC,"Linux, all",UNCONFIRMED,,P3,Major
125019,"CRASH with message ""Open Office has stopped working"" for particular document",Application,Writer,open-import,PC,"Windows 8, 8.1",UNCONFIRMED,,P3,Normal
125020,Formular bar not updating,Application,Calc,ui,Mac,"Mac OS X, all",CLOSED,FIXED,P2,Major
125021,Descenders get cropped within OS/X widgets,Code,General,ui,Mac,OS X 10.9,UNCONFIRMED,,P3,Normal
125022,uno.util.Bootstrap.bootstrap() throws exception in .NET,Application,Writer,programming,PC,Windows 7,CLOSED,DUPLICATE,P3,Blocker
125023,Constantly Crashes,Application,Writer,editing,Mac,"Mac OS X, all",CLOSED,IRREPRODUCIBLE,P3,Normal
125024,Crash: after applying the comment arises the problem with using table,Application,Writer,editing,PC,Windows 7,CLOSED,FIXED,P2,Major
125025,"Saving as xls file, loses optimal row height",Application,Calc,save-export,PC,Windows 7,UNCONFIRMED,,P3,Normal
